"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"129",27,394.256154292708,"BMT","UCB",0.578673038045894,4.36383802240557,NA,0.00685292644012694,0.0307031138870375,NA,NA,NA,0.0431073453612542,"BMT-UCB",77.611180564222
"130",27,520.716358794078,"Sticky","GM",0.443529697376315,NA,NA,NA,1.39164524656858,NA,NA,NA,6.3590915702885,"Sticky-GM",77.611180564222
"131",28,157.642332435475,"kNN","GM",0.831533473156423,NA,NA,NA,0.0517247695034931,NA,NA,1,0.179468299205018,"kNN-GM",77.2109899377545
"132",28,153.315357380601,"DF","UCB",0.836157551270287,NA,NA,0.134013097252838,0.0265290513093036,0.35669640378186,NA,NA,0.061630873253713,"DF-UCB",77.2109899377545
"133",28,172.950525432046,"dNN","GM",0.815174173807442,NA,NA,NA,0.0517244748817656,NA,1,NA,0.179338357779608,"dNN-GM",77.2109899377545
"134",28,152.892833199038,"BMT","UCB",0.836609087226877,4.62516039039037,NA,0.0965871435587954,0.00685976106628206,NA,NA,NA,0.00752147598165962,"BMT-UCB",77.2109899377545
"135",28,223.109972393066,"Sticky","GM",0.761570629078259,NA,NA,NA,0.887966736111075,NA,NA,NA,5.36695397375352,"Sticky-GM",77.2109899377545
"136",29,445.135967319775,"DF","UCB",0.524299664760333,NA,NA,0.220676573387123,0.0619843652824736,0.433191354001114,NA,NA,0.166290451029863,"DF-UCB",75.7298796075978
"137",29,421.52248658249,"dNN","GM",0.549534517766116,NA,NA,NA,0.0877631983008232,NA,2,NA,0.216761957865171,"dNN-GM",75.7298796075978
"138",29,547.861056571823,"Sticky","GM",0.414521163398254,NA,NA,NA,4.81540683377471,NA,NA,NA,21.6041689526276,"Sticky-GM",75.7298796075978
"139",29,413.631846824972,"BMT","UCB",0.557966952468052,9.95721992768826,NA,0.116451366598875,0.00681079606000545,NA,NA,NA,0.0095793807800062,"BMT-UCB",75.7298796075978
