"","participant","loo","nLL","tau","beta","lambda","errorVariance","alpha","d","k","gamma","omega","R2","acq","kernel","meanScore"
"3600",85,9,47.0644040507169,0.00691541326802935,0.00699628615283858,NA,10.0016289709526,NA,NA,NA,NA,0.00690743455980652,0.94341701472803,"UCB","BMT",74.5192588160563
"3601",86,1,23.3392781557868,0.0422390334572865,0.277288657353594,NA,NA,1.11314340040391,NA,NA,NA,0.121345958543321,0.971940449288932,"UCB","DF",83.6535766802238
"3602",86,2,33.314111355936,0.634062744649151,NA,NA,NA,NA,NA,NA,NA,3.37538549805608,0.959948247295974,"GM","Sticky",83.6535766802238
"3603",86,3,33.3141113805364,0.979662717390942,NA,NA,NA,NA,NA,NA,NA,5.21516102264196,0.959948247266398,"GM","Sticky",83.6535766802238
"3604",86,4,33.3141113508207,23.5676761565014,NA,NA,NA,NA,NA,NA,NA,125.460757756575,0.959948247302124,"GM","Sticky",83.6535766802238
"3605",86,1,38.642794699841,3.85927244434503,NA,NA,NA,NA,NA,NA,NA,20.6526878638853,0.953541859767041,"GM","Sticky",83.6535766802238
"3606",86,6,38.6427946972079,0.674295071452558,NA,NA,NA,NA,NA,NA,NA,3.60845361717432,0.953541859770206,"GM","Sticky",83.6535766802238
"3607",86,7,49.4819427965459,0.100674779722456,NA,NA,NA,NA,NA,NA,NA,0.544529859933613,0.94051053876156,"GM","Sticky",83.6535766802238
"3608",86,8,49.481942761749,1.54378311635766,NA,NA,NA,NA,NA,NA,NA,8.35001580606734,0.940510538803394,"GM","Sticky",83.6535766802238
"3609",86,5,49.4819427859855,12.8219515237422,NA,NA,NA,NA,NA,NA,NA,69.3513855316516,0.940510538774256,"GM","Sticky",83.6535766802238
"3610",86,2,20.4318440047206,0.0789645984416766,NA,NA,NA,NA,1,NA,NA,0.195971943631456,0.975435899981811,"GM","dNN",83.6535766802238
"3611",86,3,27.0951012488418,0.0708837961663537,NA,NA,NA,NA,1,NA,NA,0.158087263855137,0.967425026496593,"GM","dNN",83.6535766802238
"3612",86,4,19.9292772657615,0.0742058304615769,NA,NA,NA,NA,1,NA,NA,0.187527224927152,0.976040108766821,"GM","dNN",83.6535766802238
"3613",86,5,28.240704182954,0.075016243593368,NA,NA,NA,NA,1,NA,NA,0.201264334450616,0.966047730103367,"GM","dNN",83.6535766802238
"3614",86,6,27.4369902161571,0.0712194253553848,NA,NA,NA,NA,1,NA,NA,0.170190401647983,0.967013991898526,"GM","dNN",83.6535766802238
"3615",86,7,40.3211125780117,0.0675283303500341,NA,NA,NA,NA,1,NA,NA,0.161175473736142,0.951524109033814,"GM","dNN",83.6535766802238
"3616",86,8,37.8112437298222,0.0687679195245425,NA,NA,NA,NA,1,NA,NA,0.172558515598916,0.954541588484285,"GM","dNN",83.6535766802238
"3617",86,9,3.72316171876458,0.0740393408067466,NA,NA,NA,NA,1,NA,NA,0.183342427325667,0.995523844209926,"GM","dNN",83.6535766802238
"3618",86,1,24.7866251423149,0.0705749858696278,NA,NA,NA,NA,NA,2,NA,0.17831874870648,0.970200382355674,"GM","kNN",83.6535766802238
"3619",86,2,20.4755792154636,0.0761188385910531,NA,NA,NA,NA,NA,2,NA,0.191003526627658,0.975383319505435,"GM","kNN",83.6535766802238
"3620",86,3,28.5962808676328,0.0676911183749291,NA,NA,NA,NA,NA,2,NA,0.15005011720838,0.965620239503665,"GM","kNN",83.6535766802238
"3621",86,4,19.9230147973732,0.0714860156235212,NA,NA,NA,NA,NA,2,NA,0.1833310623207,0.97604763779356,"GM","kNN",83.6535766802238
"3622",86,1,24.8304401962712,0.0737377109228449,NA,NA,NA,NA,1,NA,NA,0.183090209306392,0.970147705888125,"GM","dNN",83.6535766802238
"3623",86,6,27.246471206511,0.068598618395065,NA,NA,NA,NA,NA,2,NA,0.166945177895462,0.967243042590536,"GM","kNN",83.6535766802238
"3624",86,7,41.082209652568,0.0634435500878894,NA,NA,NA,NA,NA,2,NA,0.153731684704494,0.950609083221233,"GM","kNN",83.6535766802238
"3625",86,8,38.4736829126504,0.065388044226186,NA,NA,NA,NA,NA,2,NA,0.16670261872424,0.953745173714321,"GM","kNN",83.6535766802238
"3626",86,9,4.12396541423372,0.0714673769510466,NA,NA,NA,NA,NA,2,NA,0.178502744349474,0.995041979623406,"GM","kNN",83.6535766802238
"3627",86,2,23.3880095702703,0.0424297681481367,0.305426658104825,NA,NA,0.996752267926329,NA,NA,NA,0.119430215843334,0.971881862147256,"UCB","DF",83.6535766802238
"3628",86,3,70.8540632134226,0.03543210126565,0.360126541661942,NA,NA,2.74712343065446,NA,NA,NA,0.0735589125924883,0.914815995312635,"UCB","DF",83.6535766802238
"3629",86,4,18.5843405718279,0.0397811735643602,0.289210623362631,NA,NA,1.04290849031245,NA,NA,NA,0.114736261163649,0.977657053349027,"UCB","DF",83.6535766802238
"3630",86,5,28.2273451801607,0.0363073824572601,0.293656231041002,NA,NA,0.79882401735035,NA,NA,NA,0.114620442524455,0.966063790909268,"UCB","DF",83.6535766802238
"3631",86,6,20.2849236536919,0.0422795018375155,0.268909497280793,NA,NA,1.09846767520126,NA,NA,NA,0.115625569255382,0.975612534366673,"UCB","DF",83.6535766802238
"3632",86,7,32.4089382801245,0.0430346085870293,0.244100709381757,NA,NA,1.22579007101967,NA,NA,NA,0.110499446319667,0.961036487885657,"UCB","DF",83.6535766802238
"3633",86,8,35.2341551569086,0.0364335726696435,0.2679469012208,NA,NA,0.921582382904268,NA,NA,NA,0.100981585462176,0.957639882571013,"UCB","DF",83.6535766802238
"3634",86,9,0.839902193307052,0.0414316318384083,0.276884990316734,NA,NA,1.06573389778562,NA,NA,NA,0.11587721093668,0.99899023105907,"UCB","DF",83.6535766802238
"3635",86,5,28.2406626626254,0.0750153740759559,NA,NA,NA,NA,NA,1,NA,0.201260938051341,0.96604778002101,"GM","kNN",83.6535766802238
"3636",86,1,28.6163541997262,0.0564101824954961,0.00682211194650784,NA,2.38703577169023,NA,NA,NA,NA,0.0982296502056441,0.965596106423111,"UCB","BMT",83.6535766802238
"3637",86,2,26.6613944595233,0.0538402516895436,0.0290362464835407,NA,2.3372349487889,NA,NA,NA,NA,0.095153935292892,0.967946448691718,"UCB","BMT",83.6535766802238
"3638",86,3,22.4787811903052,0.056317543113833,0.00674011963565674,NA,2.55662466180115,NA,NA,NA,NA,0.102391491262108,0.972974978209599,"UCB","BMT",83.6535766802238
"3639",86,4,21.8317711836328,0.0554983893829957,0.00683674231443264,NA,2.53292464578699,NA,NA,NA,NA,0.101938137173106,0.973752843316292,"UCB","BMT",83.6535766802238
"3640",86,5,86.607518132884,0.0106153797161057,0.0998558559332912,NA,6.60087484288025,NA,NA,NA,NA,0.0138029907531921,0.895876469238323,"UCB","BMT",83.6535766802238
"3641",86,6,25.4182882254394,0.0557556355723346,0.00675686401656244,NA,2.52016962303493,NA,NA,NA,NA,0.101620024832116,0.969440968024394,"UCB","BMT",83.6535766802238
"3642",86,7,35.27787912243,0.058502333196799,0.00709198310202592,NA,2.42971765837488,NA,NA,NA,NA,0.107796481786993,0.957587315614158,"UCB","BMT",83.6535766802238
"3643",86,8,34.081194158965,0.0564195019082035,0.00685662732207424,NA,2.30013018063523,NA,NA,NA,NA,0.108222489622423,0.959026025166073,"UCB","BMT",83.6535766802238
"3644",86,9,5.7584836696303,0.0555299129456605,0.00677245268424741,NA,2.45516068287934,NA,NA,NA,NA,0.0999989465456659,0.993076886805654,"UCB","BMT",83.6535766802238
"3645",86,9,12.5745318286948,10.8112559621604,NA,NA,NA,NA,NA,NA,NA,56.3834612061962,0.984882321074368,"GM","Sticky",83.6535766802238
"3646",87,1,23.619458239747,0.00940431884500589,0.00833876164936789,NA,7.25642999211015,NA,NA,NA,NA,0.00673928803901585,0.971603603940861,"UCB","BMT",75.892320760306
"3647",87,2,16.8493486409735,0.00931656117496721,0.00726911393416567,NA,7.3841354903822,NA,NA,NA,NA,0.00675497652159271,0.979742940227882,"UCB","BMT",75.892320760306
"3648",87,4,33.3099673326693,0.00895026675606434,0.00748787425022604,NA,7.18662135295139,NA,NA,NA,NA,0.00679507638778582,0.959953229430821,"UCB","BMT",75.892320760306
"3649",87,5,23.9457372444942,0.00861820572178324,0.00676017787356445,NA,7.6794991832123,NA,NA,NA,NA,0.00681329458847119,0.971211336355782,"UCB","BMT",75.892320760306
"3650",87,6,82.9482471214388,0.00825662035998547,0.00727531680790188,NA,8.13336451727726,NA,NA,NA,NA,0.00686157950330622,0.900275812689557,"UCB","BMT",75.892320760306
"3651",87,3,27.0369553541717,0.00885617555010947,0.00743764758259329,NA,7.14530558909486,NA,NA,NA,NA,0.00675168508890263,0.967494932158167,"UCB","BMT",75.892320760306
"3652",87,8,66.4980605291696,0.00939722329595186,0.0068186131991294,NA,7.20638147509911,NA,NA,NA,NA,0.00677131054653149,0.920052981538194,"UCB","BMT",75.892320760306
